income,loan_amount,credit_utilization,transaction_frequency,mobile_money_activity,payment_history_score,late_payments,open_loans,business_age_months,debt_ratio,probability_of_default,default
1769.02,335.38,0.543,36,0.552,0.541,1,2,138,0.769,0.933,1
982.09,613.26,0.422,33,0.604,0.801,1,2,121,0.09,0.668,1
1782.32,99.25,0.27,39,0.171,0.506,1,2,54,0.502,0.757,1
150.0,88.88,0.341,38,0.192,0.448,1,3,5,0.224,0.89,1
1410.95,50.0,0.699,49,0.956,0.327,2,3,126,0.217,0.875,1
1043.52,490.37,0.815,42,0.37,0.857,2,5,166,0.643,0.938,1
850.5,454.18,0.133,48,0.735,0.375,0,2,51,0.334,0.847,1
1045.88,269.4,0.063,39,0.625,0.712,0,0,50,0.498,0.574,0
150.0,204.9,0.544,40,0.325,0.773,2,2,151,0.46,0.983,1
890.16,1003.64,0.804,50,0.131,0.833,1,1,98,0.724,0.987,1
1178.56,335.22,0.07,43,0.487,0.432,3,1,46,0.344,0.826,1
1738.95,747.02,0.571,31,0.392,0.536,1,3,142,0.503,0.927,1
740.86,363.41,0.783,32,0.788,0.305,2,3,179,0.523,0.984,1
595.75,274.82,0.152,38,0.559,0.814,2,1,105,0.331,0.655,1
749.12,754.16,0.376,41,0.574,0.988,2,2,87,0.637,0.937,1
1457.7,597.49,0.141,41,0.44,0.471,0,1,136,0.24,0.702,1
1164.38,393.97,0.084,43,0.211,0.992,3,1,144,0.527,0.605,0
735.12,683.43,0.495,50,0.306,0.897,5,3,82,0.817,0.986,1
1256.63,1030.08,0.648,28,0.404,0.851,1,2,56,0.691,0.959,1
1048.54,216.91,0.88,40,0.18,0.313,2,1,47,0.849,0.99,1
1484.32,517.93,0.328,34,0.119,0.562,2,2,162,0.815,0.947,1
648.97,297.7,0.284,43,0.28,0.893,3,2,123,0.265,0.668,1
836.17,166.36,0.611,39,0.75,0.899,3,0,123,0.868,0.917,1
803.95,159.43,0.903,50,0.171,0.414,1,4,45,0.184,0.895,1
268.24,798.08,0.217,25,0.566,0.743,5,0,67,0.386,1.0,1
1148.06,50.0,0.157,28,0.304,0.323,2,3,121,0.646,0.891,1
1130.53,526.96,0.809,43,0.407,0.84,1,2,33,0.499,0.894,0
1002.56,193.69,0.171,44,0.407,0.557,2,1,31,0.707,0.873,1
882.71,843.12,0.442,36,0.767,0.481,3,2,97,0.84,0.994,1
292.31,331.73,0.753,46,0.974,0.756,1,1,41,0.801,0.991,1
789.68,309.0,0.388,39,0.993,0.918,0,3,32,0.43,0.605,0
828.64,792.38,0.635,41,0.152,0.93,3,0,161,0.087,0.878,1
598.86,619.2,0.764,25,0.969,0.547,2,0,4,0.541,0.992,1
919.36,538.56,0.536,41,0.347,0.973,5,3,72,0.171,0.813,1
1202.03,601.45,0.23,42,0.147,0.961,2,2,132,0.643,0.785,1
1943.09,129.18,0.253,29,0.204,0.634,0,3,150,0.763,0.769,1
1087.29,585.43,0.935,43,0.6,0.765,1,0,99,0.171,0.865,1
1128.78,350.24,0.78,36,0.277,0.841,1,1,143,0.534,0.855,1
962.78,490.23,0.337,47,0.781,0.312,3,5,47,0.493,0.969,1
150.0,521.14,0.21,46,0.515,0.531,1,3,75,0.795,1.0,1
986.74,122.37,0.303,34,0.143,0.354,1,4,32,0.166,0.716,1
1030.12,548.46,0.789,44,0.138,0.725,1,1,178,0.197,0.852,0
2231.62,353.41,0.586,36,0.946,0.554,0,2,124,0.7,0.897,1
903.82,90.02,0.671,29,0.954,0.461,2,3,36,0.373,0.889,1
1150.77,363.36,0.641,38,0.764,0.303,0,2,50,0.264,0.904,1
982.64,405.01,0.819,33,0.998,0.473,0,5,136,0.586,0.96,1
415.66,548.41,0.939,38,0.485,0.751,3,5,74,0.77,0.997,1
1571.41,50.0,0.618,39,0.67,0.821,2,6,3,0.245,0.616,0
1375.97,497.03,0.594,28,0.384,0.953,1,0,128,0.571,0.782,1
1395.52,272.03,0.151,54,0.107,0.995,1,2,147,0.145,0.206,0
545.31,602.47,0.879,40,0.21,0.428,1,2,14,0.524,0.995,1
1701.4,399.53,0.106,35,0.75,0.712,2,1,103,0.273,0.543,0
299.07,316.65,0.66,36,0.389,0.533,1,1,8,0.138,0.964,1
1293.43,355.62,0.719,44,0.793,0.841,1,0,63,0.761,0.901,1
2095.23,483.35,0.349,45,0.38,0.817,1,4,102,0.487,0.66,1
504.73,626.98,0.143,47,0.862,0.594,1,1,167,0.488,0.968,1
716.85,177.22,0.432,42,0.572,0.592,3,1,100,0.594,0.915,1
1049.83,314.09,0.266,39,0.883,0.385,2,5,162,0.51,0.913,1
748.26,767.34,0.585,49,0.712,0.932,5,3,3,0.535,0.981,1
224.67,309.72,0.081,44,0.643,0.715,5,1,163,0.571,0.988,1
1034.28,491.81,0.093,44,0.349,0.766,1,2,16,0.118,0.479,1
468.85,91.45,0.566,44,0.494,0.627,1,0,151,0.872,0.937,1
1236.8,50.0,0.174,46,0.5,0.302,0,1,94,0.248,0.646,1
540.29,139.95,0.373,49,0.677,0.785,2,1,102,0.316,0.656,1
1774.97,227.53,0.837,39,0.937,0.478,3,3,80,0.557,0.959,1
608.37,659.98,0.072,43,0.662,0.586,3,0,17,0.247,0.94,1
838.97,687.38,0.185,44,0.762,0.554,0,1,36,0.49,0.915,0
1406.76,50.0,0.865,39,0.521,0.584,1,4,129,0.809,0.947,1
384.57,264.69,0.392,37,0.715,0.795,2,1,76,0.232,0.81,1
1113.73,574.45,0.38,44,0.43,0.58,1,3,40,0.884,0.964,1
1653.57,373.66,0.548,38,0.484,0.822,1,0,81,0.112,0.498,1
196.26,776.14,0.446,50,0.693,0.997,0,3,112,0.22,1.0,1
1092.32,568.38,0.747,43,0.266,0.425,3,2,50,0.49,0.98,1
1129.94,333.08,0.303,37,0.67,0.703,0,1,158,0.809,0.852,1
1390.91,355.33,0.186,47,0.157,0.428,0,2,41,0.391,0.759,0
381.52,385.8,0.549,42,0.643,0.741,1,2,19,0.231,0.924,1
339.77,188.51,0.474,45,0.89,0.857,5,1,47,0.395,0.907,0
1260.97,634.8,0.374,37,0.667,0.835,4,1,57,0.661,0.926,1
1148.49,585.61,0.39,38,0.363,0.409,0,3,10,0.595,0.946,1
1125.25,513.57,0.869,47,0.727,0.709,2,2,98,0.864,0.98,1
1173.22,460.64,0.764,41,0.98,0.657,5,1,137,0.51,0.968,1
659.99,145.45,0.23,36,0.774,0.341,2,2,42,0.097,0.748,1
1116.13,526.05,0.449,45,0.539,0.996,1,4,67,0.233,0.541,1
1146.54,432.28,0.728,45,0.182,0.646,0,1,113,0.739,0.942,1
642.82,900.57,0.517,48,0.522,0.444,1,0,30,0.191,0.985,1
1932.89,76.68,0.89,39,0.25,0.458,2,1,105,0.515,0.941,1
1236.92,219.18,0.69,32,0.748,0.501,1,1,74,0.667,0.94,1
404.35,50.0,0.176,46,0.402,0.764,1,7,89,0.671,0.679,0
1328.28,345.5,0.41,39,0.794,0.605,1,2,79,0.655,0.882,1
512.66,50.0,0.821,40,0.876,0.825,2,1,120,0.384,0.771,1
1393.54,696.38,0.411,32,0.605,0.585,0,3,161,0.327,0.817,1
1579.3,673.06,0.509,32,0.138,0.422,2,1,106,0.308,0.922,0
589.66,360.09,0.784,40,0.552,0.687,2,1,118,0.268,0.923,1
1481.69,146.57,0.068,42,0.514,0.484,1,4,50,0.637,0.783,1
1206.39,50.0,0.12,35,0.184,0.534,1,0,103,0.235,0.489,0
1411.03,224.03,0.289,36,0.568,0.622,3,1,32,0.435,0.794,1
1948.4,556.34,0.739,39,0.574,0.719,1,2,36,0.075,0.68,0
877.31,203.24,0.299,32,0.415,0.707,3,1,158,0.69,0.878,1
623.13,877.14,0.423,45,0.903,0.447,2,3,31,0.074,0.981,1
555.24,772.67,0.36,45,0.781,0.971,1,0,98,0.317,0.924,1
592.09,400.21,0.77,44,0.482,0.392,1,1,21,0.136,0.952,1
961.45,284.53,0.596,27,0.416,0.592,1,7,122,0.32,0.829,1
1170.58,257.7,0.246,46,0.561,0.945,2,1,128,0.508,0.58,1
1138.35,799.59,0.845,39,0.787,0.62,1,0,177,0.103,0.913,1
1413.59,235.83,0.06,39,0.863,0.577,2,3,97,0.836,0.873,1
1006.5,633.59,0.426,55,0.447,0.732,1,1,112,0.78,0.946,1
1726.77,405.45,0.767,36,0.841,0.568,5,3,131,0.681,0.978,1
867.67,578.39,0.464,41,0.74,0.781,2,0,29,0.648,0.941,1
2360.08,194.9,0.303,42,0.715,0.939,0,2,135,0.128,0.195,1
1312.83,316.77,0.877,40,0.553,0.953,1,0,175,0.46,0.775,0
571.42,393.95,0.651,43,0.93,0.671,0,4,153,0.616,0.951,1
464.55,242.16,0.538,34,0.333,0.998,1,4,36,0.628,0.829,1
1241.24,712.31,0.885,45,0.911,0.605,0,4,168,0.505,0.955,1
888.27,208.92,0.868,51,0.651,0.445,1,4,65,0.858,0.981,1
1357.0,255.74,0.361,35,0.385,0.814,1,2,122,0.534,0.676,1
1236.62,739.68,0.364,37,0.308,0.536,2,3,28,0.758,0.971,1
963.59,691.23,0.315,31,0.374,0.64,2,1,38,0.408,0.915,1
576.6,796.99,0.305,38,0.424,0.648,4,2,168,0.63,0.993,1
242.58,50.0,0.179,43,0.697,0.778,2,3,57,0.789,0.815,0
776.74,450.18,0.627,26,0.75,0.928,1,5,115,0.587,0.88,1
1428.2,422.57,0.32,33,0.627,0.561,1,1,133,0.853,0.932,1
1107.05,259.57,0.453,35,0.53,0.861,3,2,155,0.475,0.767,0
377.13,481.11,0.479,35,0.152,0.934,0,2,34,0.398,0.93,1
1086.59,319.64,0.653,45,0.891,0.809,2,2,33,0.485,0.846,1
1192.66,440.5,0.793,41,0.38,0.567,1,1,82,0.794,0.972,1
558.07,1250.47,0.922,41,0.534,0.525,1,2,154,0.553,1.0,1
1076.86,479.28,0.445,37,0.548,0.36,1,2,108,0.207,0.887,1
1029.1,489.78,0.818,46,0.191,0.631,4,0,78,0.057,0.909,1
428.51,605.3,0.53,46,0.501,0.536,1,3,46,0.72,0.996,1
1178.89,445.16,0.891,49,0.224,0.376,3,8,28,0.445,0.98,1
1280.39,125.49,0.734,40,0.782,0.84,1,1,21,0.086,0.488,1
1541.53,50.0,0.667,37,0.208,0.772,3,3,140,0.319,0.728,1
1526.9,392.68,0.426,36,0.704,0.355,1,4,15,0.678,0.95,1
311.17,332.72,0.323,35,0.327,0.832,0,2,138,0.107,0.782,1
531.09,50.0,0.776,40,0.89,0.606,5,1,21,0.641,0.964,1
1257.52,807.35,0.573,32,0.609,0.596,0,3,110,0.833,0.972,1
1256.89,426.75,0.12,41,0.254,0.589,3,3,51,0.331,0.778,1
1257.52,759.86,0.442,49,0.259,0.999,2,1,166,0.322,0.719,0
2926.37,50.0,0.181,42,0.13,0.903,2,2,138,0.423,0.402,1
1285.45,764.62,0.075,36,0.686,0.507,0,4,131,0.464,0.843,1
1567.78,278.7,0.943,39,0.719,0.49,2,2,89,0.479,0.952,1
1477.0,714.79,0.538,30,0.902,0.987,2,5,48,0.823,0.909,1
1325.7,453.72,0.781,48,0.87,0.678,0,1,109,0.447,0.869,0
842.37,513.31,0.455,41,0.975,0.682,0,3,148,0.492,0.88,1
1379.48,513.63,0.622,44,0.875,0.941,1,1,115,0.783,0.879,1
613.59,293.72,0.941,37,0.847,0.847,1,2,78,0.214,0.831,1
881.59,238.37,0.639,33,0.821,0.528,2,2,52,0.635,0.949,1
757.32,309.71,0.196,41,0.899,0.74,1,2,146,0.469,0.728,1
1040.94,50.0,0.758,32,0.151,0.365,4,2,20,0.075,0.89,1
2157.33,279.82,0.886,39,0.975,0.358,1,4,179,0.89,0.984,1
150.0,225.8,0.34,32,0.45,0.388,1,2,48,0.444,0.993,1
1343.13,50.0,0.251,48,0.123,0.834,4,1,45,0.766,0.812,1
193.64,514.67,0.288,54,0.927,0.414,0,1,83,0.775,1.0,1
764.03,401.93,0.2,39,0.726,0.509,1,0,173,0.262,0.807,1
1544.48,461.51,0.24,38,0.577,0.548,4,0,168,0.868,0.963,0
1032.14,574.36,0.67,37,0.789,0.6,0,1,37,0.796,0.969,1
461.13,340.53,0.381,43,0.189,0.798,1,1,69,0.29,0.812,1
642.35,165.32,0.848,36,0.757,0.702,2,3,8,0.579,0.936,1
1339.8,475.99,0.373,39,0.384,0.936,1,0,140,0.802,0.82,1
634.82,50.0,0.876,47,0.609,0.723,1,2,75,0.465,0.832,1
1108.23,372.98,0.17,39,0.72,0.905,0,1,168,0.806,0.718,1
1022.79,591.29,0.08,33,0.666,0.774,2,2,117,0.338,0.717,1
674.2,661.73,0.755,51,0.307,0.789,2,4,64,0.402,0.967,1
2071.97,267.64,0.741,42,0.654,0.988,3,2,178,0.702,0.851,1
1316.96,50.0,0.678,32,0.292,0.583,3,1,101,0.622,0.922,1
150.0,50.0,0.429,31,0.553,0.634,0,2,178,0.3,0.711,1
1093.23,559.51,0.23,28,0.95,0.509,2,2,178,0.638,0.94,1
669.11,311.5,0.257,46,0.419,0.989,1,4,174,0.793,0.794,1
1426.22,904.32,0.771,41,0.625,0.701,1,4,161,0.644,0.964,1
603.74,50.0,0.897,36,0.935,0.846,4,6,113,0.508,0.89,1
942.63,485.58,0.906,41,0.904,0.531,0,0,81,0.104,0.888,1
1252.49,815.59,0.387,43,0.348,0.891,1,1,154,0.078,0.591,1
1432.88,451.62,0.637,26,0.914,0.736,1,1,51,0.455,0.837,0
399.85,50.0,0.327,37,0.858,0.35,1,4,121,0.453,0.854,1
832.75,1093.15,0.818,35,0.364,0.452,2,1,124,0.638,0.998,1
762.53,795.15,0.583,40,0.858,0.827,1,2,70,0.599,0.967,1
673.34,343.19,0.825,39,0.74,0.878,2,1,84,0.592,0.933,1
1882.73,604.74,0.721,34,0.97,0.772,1,0,116,0.732,0.921,1
1202.49,607.42,0.272,32,0.596,0.53,1,4,47,0.133,0.752,1
369.56,560.44,0.078,37,0.704,0.924,4,1,133,0.625,0.982,1
1458.93,54.56,0.935,46,0.477,0.918,2,4,29,0.111,0.564,1
2061.08,481.04,0.459,38,0.454,0.385,1,2,57,0.795,0.959,1
1516.23,765.18,0.297,47,0.848,0.33,3,2,138,0.393,0.952,0
240.32,526.13,0.781,36,0.429,0.932,1,1,36,0.312,0.995,1
757.88,499.29,0.204,43,0.463,0.494,0,2,43,0.174,0.791,1
1633.46,265.79,0.506,39,0.832,0.848,1,1,56,0.38,0.605,1
646.17,174.01,0.427,52,0.127,0.94,1,2,49,0.783,0.795,1
1221.91,50.0,0.164,39,0.598,0.348,0,1,109,0.107,0.51,0
1387.32,589.37,0.658,30,0.613,0.757,2,4,142,0.754,0.95,1
536.53,344.78,0.845,39,0.649,0.836,2,4,110,0.756,0.973,1
970.24,64.66,0.886,44,0.943,0.607,1,4,40,0.324,0.828,0
150.0,644.1,0.55,35,0.534,0.367,2,2,131,0.176,1.0,1
487.81,253.27,0.063,38,0.39,0.585,0,2,156,0.37,0.724,1
873.72,185.53,0.398,43,0.912,0.718,3,3,130,0.624,0.87,1
376.11,275.94,0.545,44,0.577,0.869,5,0,22,0.623,0.97,1
1816.21,351.73,0.921,42,0.902,0.567,2,1,11,0.871,0.98,1
284.93,514.51,0.45,34,0.623,0.909,1,2,114,0.558,0.99,1
779.98,181.17,0.367,44,0.671,0.906,2,3,74,0.212,0.474,0
1065.37,652.59,0.881,46,0.148,0.443,1,1,133,0.251,0.96,1
1720.64,521.06,0.447,48,0.819,0.509,0,5,33,0.706,0.918,1
282.07,271.33,0.911,43,0.167,0.704,1,0,65,0.81,0.992,1
1581.58,360.05,0.336,36,0.809,0.327,3,2,45,0.748,0.968,1
1005.12,294.34,0.721,35,0.454,0.831,3,1,123,0.742,0.938,1
509.25,416.47,0.809,52,0.159,0.78,1,2,72,0.517,0.961,0
1231.05,779.97,0.848,54,0.136,0.705,1,3,59,0.492,0.953,1
1099.53,291.77,0.317,32,0.241,0.476,1,1,97,0.528,0.87,1
699.89,447.37,0.936,38,0.584,0.643,2,3,148,0.507,0.975,1
1034.9,225.35,0.718,58,0.825,0.893,0,0,168,0.32,0.602,0
807.34,532.99,0.186,33,0.166,0.559,4,1,3,0.053,0.87,1
1056.76,469.1,0.734,38,0.57,0.77,0,2,59,0.338,0.81,0
1331.07,732.4,0.801,44,0.443,0.452,0,4,54,0.839,0.986,1
1793.01,192.7,0.214,32,0.403,0.975,1,1,107,0.271,0.268,0
381.09,572.64,0.203,46,0.739,0.722,3,2,168,0.24,0.971,1
2066.52,716.02,0.168,41,0.491,0.533,1,8,71,0.857,0.926,1
150.0,290.6,0.496,39,0.708,0.89,2,1,124,0.324,0.99,1
924.11,368.26,0.695,37,0.493,0.344,2,2,9,0.839,0.99,1
1294.16,447.68,0.391,31,0.886,0.391,0,1,137,0.548,0.911,1
1140.5,340.86,0.102,38,0.166,0.416,1,1,32,0.446,0.821,1
688.65,444.33,0.374,35,0.417,0.896,0,2,22,0.699,0.863,1
895.94,568.36,0.682,58,0.245,0.672,0,2,103,0.087,0.802,1
753.5,371.51,0.138,45,0.283,0.393,0,4,162,0.136,0.732,1
705.32,369.55,0.551,39,0.474,0.531,1,3,43,0.288,0.895,1
1424.8,466.67,0.593,43,0.588,0.741,2,0,134,0.528,0.879,1
1178.51,300.21,0.636,26,0.874,0.418,0,2,158,0.168,0.81,1
653.55,312.57,0.361,43,0.314,0.714,3,2,119,0.131,0.75,1
1449.8,175.28,0.885,41,0.932,0.48,3,0,160,0.229,0.91,1
1153.65,389.46,0.945,38,0.212,0.398,1,2,37,0.756,0.986,1
1406.43,511.94,0.803,34,0.131,0.598,1,2,129,0.885,0.976,1
1314.81,332.72,0.148,39,0.117,0.34,2,4,69,0.297,0.826,1
585.5,206.62,0.291,45,0.891,0.622,1,0,170,0.432,0.787,1
719.91,375.95,0.231,28,0.916,0.877,2,1,65,0.414,0.729,1
1373.65,499.27,0.098,45,0.181,0.972,2,1,123,0.716,0.704,0
1305.19,431.99,0.857,50,0.505,0.896,1,2,133,0.716,0.909,0
989.55,957.39,0.219,38,0.347,0.892,0,2,82,0.324,0.776,1
1058.66,235.9,0.389,42,0.25,0.671,3,2,118,0.325,0.772,1
1638.83,362.42,0.388,31,0.311,0.845,1,3,80,0.258,0.5,1
704.21,594.82,0.749,41,0.808,0.544,3,2,119,0.56,0.989,1
1273.55,226.33,0.453,36,0.717,0.805,0,2,75,0.485,0.633,1
898.9,882.05,0.384,39,0.932,0.36,5,2,56,0.334,0.989,1
891.16,401.15,0.289,41,0.192,0.453,1,2,23,0.472,0.902,1
1549.39,540.29,0.524,42,0.903,0.418,1,1,96,0.633,0.952,1
1412.71,404.75,0.153,37,0.106,0.909,2,2,88,0.291,0.452,0
1406.75,654.66,0.605,42,0.767,0.813,2,0,116,0.151,0.741,1
1652.74,134.29,0.791,39,0.701,0.416,2,2,134,0.545,0.947,1
1010.5,792.96,0.885,40,0.395,0.884,2,2,145,0.684,0.975,1
1340.98,457.93,0.618,45,0.182,0.769,0,2,115,0.668,0.869,1
844.87,564.61,0.79,36,0.355,0.534,1,2,42,0.831,0.989,1
1162.08,215.41,0.254,38,0.517,0.988,0,5,173,0.243,0.249,0
934.93,484.31,0.513,37,0.972,0.419,2,2,147,0.507,0.963,1
1048.5,158.0,0.306,46,0.285,0.687,0,3,179,0.771,0.795,1
1297.58,693.91,0.95,31,0.454,0.864,2,2,142,0.417,0.924,1
590.89,77.55,0.388,38,0.883,0.934,1,2,14,0.201,0.35,1
2046.19,438.54,0.251,31,0.708,0.711,2,4,143,0.267,0.599,0
496.99,302.89,0.745,42,0.391,0.982,0,2,130,0.593,0.869,0
392.91,50.0,0.463,34,0.352,0.723,0,0,4,0.843,0.865,1
1579.06,166.16,0.164,47,0.677,0.552,1,1,34,0.794,0.848,1
1395.83,512.4,0.76,49,0.894,0.761,0,0,77,0.396,0.817,1
1312.06,175.86,0.484,53,0.57,0.949,0,0,167,0.525,0.535,0
1314.17,232.71,0.76,35,0.263,0.491,1,0,30,0.871,0.971,1
993.88,493.34,0.726,37,0.48,0.851,2,1,150,0.517,0.907,1
551.37,628.71,0.563,39,0.588,0.48,1,0,129,0.418,0.985,1
1037.9,565.19,0.698,29,0.79,0.665,1,4,153,0.626,0.953,1
661.42,388.36,0.821,35,0.169,0.398,0,1,51,0.069,0.918,1
1487.56,454.41,0.454,38,0.118,0.831,0,2,61,0.598,0.749,1
926.47,429.69,0.911,35,0.671,0.953,0,1,97,0.413,0.813,1
587.25,140.91,0.214,31,0.427,0.621,2,2,117,0.433,0.758,1
839.31,469.86,0.923,33,0.87,0.835,1,3,95,0.338,0.894,0
1206.47,138.69,0.26,43,0.794,0.849,3,3,99,0.081,0.366,0
718.14,553.57,0.506,43,0.588,0.569,0,1,173,0.396,0.929,1
588.89,433.78,0.473,37,0.955,0.744,0,1,111,0.482,0.892,1
1121.84,50.0,0.104,36,0.378,0.598,2,4,142,0.512,0.678,0
1122.48,644.78,0.222,41,0.368,0.359,4,1,45,0.846,0.988,1
746.53,269.49,0.797,45,0.513,0.693,1,1,124,0.085,0.758,0
764.48,248.8,0.298,46,0.166,0.986,1,3,175,0.227,0.382,0
1116.02,638.98,0.056,51,0.333,0.528,1,1,143,0.863,0.946,1
275.96,359.18,0.792,32,0.95,0.457,3,1,54,0.22,0.993,1
296.27,549.35,0.907,52,0.486,0.673,0,2,31,0.778,0.999,1
640.78,236.66,0.529,49,0.568,0.509,2,0,78,0.743,0.964,1
893.28,600.92,0.588,43,0.764,0.919,3,3,159,0.833,0.965,1
1155.45,449.3,0.152,36,0.37,0.577,2,2,116,0.773,0.922,1
1737.68,501.23,0.903,57,0.816,0.742,0,0,102,0.299,0.799,1
1428.83,355.37,0.241,43,0.381,0.821,0,0,92,0.447,0.532,0
920.03,807.44,0.544,42,0.488,0.746,0,6,121,0.776,0.968,1
990.49,867.61,0.919,37,0.138,0.343,0,1,127,0.729,0.995,1
498.74,50.0,0.453,44,0.958,0.55,2,2,49,0.869,0.939,1
990.74,631.59,0.134,49,0.906,0.622,1,2,130,0.149,0.708,1
855.67,130.06,0.244,37,0.596,0.701,1,3,138,0.288,0.521,1
1161.36,527.42,0.114,36,0.44,0.8,2,3,95,0.678,0.827,1
